material_id,source_path,material_role,score,assignment_reason,sha256
mat_0002,themes/00-Foundations/examples/01_numpy_sequence_basics.ipynb,example,1.4,path_hint+keywords,1b978b807c135eb392a2d81c6f2efccbc6b3e5337ddbf7fc1a06a3391fcc1028
mat_0003,themes/00-Foundations/examples/02_minimal_keras_sequence_classifier.ipynb,example,1.4,path_hint+keywords,5d96a884daf8bec128c7205bb469d3b948bb883907b0391213b6b8b27741e633
mat_0004,themes/00-Foundations/examples/03_tokenization_padding_masking.ipynb,example,1.4,path_hint+keywords,047baed462624086d7f7731267317bcf89329fbb8549303ca00bd09f05d45c20
mat_0005,themes/00-Foundations/examples/04_attention_heatmap_toy.ipynb,example,1.4,path_hint+keywords,e5c7aa6c81bf28f3d8a456f248fcf4d94522b674fcbc445da925f9aba8bc7536
mat_0006,themes/00-Foundations/showcases/01_imdb_many_to_one_showcase.ipynb,showcase,1.4,path_hint+keywords,5a57aed8ebfc6df5d6582512f2bcdb22a6ae2e458144617d18b14cb0ab283e86
mat_0007,themes/00-Foundations/showcases/02_jena_climate_lstm_gru_showcase.ipynb,showcase,1.28,path_hint+keywords,a2266e36f1c5c649191f873d5caa018a245e2967a77f6c44691d1d1e90286b64
mat_0008,themes/00-Foundations/showcases/03_spa_eng_seq2seq_attention_showcase.ipynb,showcase,1.4,path_hint+keywords,1a0a01910dcd77818eca97359c3a5aa02115216453644b0773d825c11826a254
mat_0009,themes/00-Foundations/showcases/cards/01_imdb.md,showcase_card,0.92,path_hint+keywords,4c91d3a6c8ade5113cefea1886acb818fe0358074636db767aad25c2618c293e
mat_0010,themes/00-Foundations/showcases/cards/02_jena_climate.md,showcase_card,0.84,path_hint+keywords,60b2893fffcdac482aa932952134694459e6b625a68ea4eaf293026e78c820f2
mat_0011,themes/00-Foundations/showcases/cards/03_spa_eng.md,showcase_card,0.84,path_hint+keywords,f0a70988f50527b1035635412dc4c8352eaf692442be16c78efae51026fbf5ad
mat_0012,themes/00-Foundations/showcases/cards/04_reuters.md,showcase_card,0.88,path_hint+keywords,d5625eb7b4d514d2857996ee99bc0bc595baee24c81ca81df0acbbb8884aaa29
mat_0013,themes/00-Foundations/showcases/cards/05_uci_har.md,showcase_card,0.8,path_hint+keywords,d774c245159affb10adf0bf2099e1658c41d95dfe2da2d52ca2238a6a9d7dbda
mat_0014,themes/00-Foundations/showcases/cards/06_shakespeare.md,showcase_card,0.88,path_hint+keywords,0f83592b8684d30d73b90666188762d14172d2ba651a62dbe44b99172f72ca05
mat_0015,themes/00-Foundations/showcases/cards/07_forda.md,showcase_card,0.84,path_hint+keywords,ae4a44e358b6ec4d0bc7873830b3a9e7f31c4fb72a7295517555b3e017fedff8
mat_0016,themes/00-Foundations/theory/theory.md,theory,1.4,path_hint+keywords,a29e8d6e32f063bcb0287c083be4c62094b5d053818649d4f46602299c6a46a4
