material_id,source_path,material_role,score,assignment_reason,sha256
mat_0040,themes/03-Transformer/lab/01_transformer_encoder_order_toy.ipynb,lab,1.4,path_hint+keywords,092e0f96f59d1657e89961bc47a7b8f2e566faee49d385826b2336316a6eb3ae
mat_0041,themes/03-Transformer/lab/02_transformer_encoder_imdb.ipynb,lab,1.4,path_hint+keywords,cb89812724bf4be6a6d3cc52e4e413df2271367c27dd87c7d678afc83945d73f
mat_0042,themes/03-Transformer/lab/guides/00_transformer_prerequisites.md,lab_guide,1.08,path_hint+keywords,fc2da5182875317e5c58f6434df22d9bd45cdd7f8e1911bf1ad856821d3a53dd
mat_0043,themes/03-Transformer/lab/guides/01_self_attention_and_positional_encoding_beginner.md,lab_guide,1.2,path_hint+keywords,824b6c9d6135204d28b9fac021f21d5f56239ec6878c07e51da982ccaf76fe9d
mat_0044,themes/03-Transformer/lab/guides/02_transformer_encoder_toy_walkthrough.md,lab_guide,1.2,path_hint+keywords,60eade3bc85b6f982f282392fcb6bd2424c9cbb288287194bc3aefd656529e92
mat_0045,themes/03-Transformer/lab/guides/03_transformer_encoder_imdb_walkthrough.md,lab_guide,1.16,path_hint+keywords,b6a0ac9f579b7725353afdacd024e79c45a1bbb078e50de3f86e5660fd7cfbe4
mat_0046,themes/03-Transformer/lab/guides/04_transformer_debugging_playbook.md,lab_guide,1.04,path_hint+keywords,18ccaa773d8e6905519e2e82dc78f5982eb08decf18a50a44e9cf3662a49f0e4
mat_0047,themes/03-Transformer/lab/solutions/01_transformer_encoder_order_toy_solution.ipynb,lab_solution,1.4,path_hint+keywords,5cefabe463c518512bd7213f2d59a8d4c7f9bd9a436c9877c375c27be31eb16d
mat_0048,themes/03-Transformer/lab/solutions/02_transformer_encoder_imdb_solution.ipynb,lab_solution,1.4,path_hint+keywords,0dcc17683e2873a413ac870af1b4a6ae5ccc6033b88d0c7a710d3b32d682c332
mat_0049,themes/03-Transformer/theory/theory.md,theory,1.4,path_hint+keywords,e6e3125bab3c378b8122671d7b7c0bd3f008544a1e1772f6bd7dbae3b6039d8c
