material_id,source_path,material_role,score,assignment_reason
mat_0050,themes/04-Autoregression/lab/01_decoder_only_causal_toy.ipynb,lab,1.36,path_hint+keywords
mat_0051,themes/04-Autoregression/lab/02_decoder_only_tiny_shakespeare.ipynb,lab,1.28,path_hint+keywords
mat_0052,themes/04-Autoregression/lab/02_decoder_only_tiny_shakespeare_gpu.ipynb,lab,1.24,path_hint+keywords
mat_0053,themes/04-Autoregression/lab/guides/00_autoregression_prerequisites.md,lab_guide,0.96,path_hint+keywords
mat_0054,themes/04-Autoregression/lab/guides/01_decoder_only_toy_walkthrough.md,lab_guide,0.96,path_hint+keywords
mat_0055,themes/04-Autoregression/lab/guides/02_autoregression_debugging_playbook.md,lab_guide,0.84,path_hint+keywords
mat_0056,themes/04-Autoregression/lab/guides/03_tiny_shakespeare_walkthrough.md,lab_guide,0.84,path_hint+keywords
mat_0057,themes/04-Autoregression/lab/guides/04_tiny_shakespeare_debugging_playbook.md,lab_guide,0.84,path_hint+keywords
mat_0058,themes/04-Autoregression/lab/guides/05_tiny_shakespeare_gpu_walkthrough.md,lab_guide,0.88,path_hint+keywords
mat_0059,themes/04-Autoregression/lab/guides/06_tiny_shakespeare_gpu_debugging_playbook.md,lab_guide,0.92,path_hint+keywords
mat_0060,themes/04-Autoregression/lab/guides/07_lr04_local_gpu_tf221_checklist.md,lab_guide,1.0,path_hint+keywords
mat_0061,themes/04-Autoregression/lab/solutions/01_decoder_only_causal_toy_solution.ipynb,lab_solution,1.36,path_hint+keywords
mat_0062,themes/04-Autoregression/lab/solutions/02_decoder_only_tiny_shakespeare_gpu_solution.ipynb,lab_solution,1.28,path_hint+keywords
mat_0063,themes/04-Autoregression/lab/solutions/02_decoder_only_tiny_shakespeare_solution.ipynb,lab_solution,1.24,path_hint+keywords
mat_0064,themes/04-Autoregression/theory/theory.md,theory,1.4,path_hint+keywords
